variable,dtype,count,missing,missing_pct,mean,std,min,q25,median,q75,max,skew,kurt
suzb,float64,1517,1,0.06587615283267458,48.95966818023058,7.705530676130224,21.965852737426758,44.14418411254883,49.838043212890625,53.39837646484375,70.64403533935547,-0.2219842347928641,0.16140787328475525
ptax,float64,1517,1,0.06587615283267458,5.278478576137113,0.35668624662507037,4.0213,5.0498,5.2802,5.5266,6.2086,-0.3414792694699542,0.8065376214519384
selic,float64,1518,0,0.0,9.601943346508564,4.581535321036923,2.0,4.25,11.25,13.75,15.0,-0.5858869538805513,-1.2594473502198962
pulp_usd,float64,1517,1,0.06587615283267458,731.8094924192485,65.05735212493175,595.0,680.0,730.0,795.0,820.0,-0.3104248065310696,-1.1849120071519734
precip_mm,float64,1518,0,0.0,104.68662714097496,44.51672064473911,40.3,69.5,106.5,146.2,180.8,0.24097508584672728,-1.1815084869457853
ndvi,float64,1518,0,0.0,0.682931488801054,0.04189681013273158,0.62,0.65,0.68,0.71,0.77,0.2688644043457783,-0.9417279842829744
credit,float64,1518,0,0.0,112.86264822134387,9.42230667028476,91.5,108.5,113.2,121.8,125.2,-0.3945800824030435,-0.6678060667460546
imat,float64,1517,1,0.06587615283267458,6145.879795649308,1194.4447497270655,3680.4,5280.4,5920.3,7580.65,7850.75,-0.044595592250355844,-1.2210122304711608
iagro,float64,705,813,53.55731225296443,4.578734331942619,1.9456449846784594,2.4207441806793213,3.3217098712921143,3.940000057220459,4.706599712371826,9.927873611450195,1.4205225945685929,0.8143207703123116
ibov,float64,1517,1,0.06587615283267458,116413.3810151615,14040.469677601972,63570.0,107735.0,116953.0,127108.0,146492.0,-0.5669427648321179,0.6777032156796361
pulp_brl,float64,1517,1,0.06587615283267458,3873.954849703362,522.5305419359498,2613.8450000000003,3469.5570000000002,3785.8320000000003,4343.647,4997.923,0.011915272607039873,-0.9129319703946961
ptax_r,float64,1516,2,0.13175230566534915,0.00019197056536852155,0.009029299139960938,-0.046099123362897565,-0.0046505528319633616,0.0,0.004717279930262164,0.04384877553353417,0.13930093614743277,2.3889349767469907
selic_r,float64,1517,1,0.06587615283267458,0.0007936537932273803,0.019691154220432907,-0.287682072451781,0.0,0.0,0.0,0.3184537311185346,4.301406465495189,135.7830218552275
pulp_brl_r,float64,1516,2,0.13175230566534915,0.0003330457068783372,0.009764785222638692,-0.05552416875712041,-0.004655799356950929,0.0,0.005006285729500792,0.044427743027382505,0.028845185581546102,3.3633951093067767
suzb_r,float64,1516,2,0.13175230566534915,0.00019755405428912768,0.021301697363888258,-0.1759123935894369,-0.009715137108750271,0.0,0.009998163449659314,0.15857183570126843,-0.2172271842328043,8.928218080966445
credit_r,float64,1517,1,0.06587615283267458,0.00014814915799466448,0.002875014095220901,-0.07472354619593702,0.0,0.0,0.0,0.027793863201228675,-8.65884883876073,327.7197048610432
precip_mm_r,float64,1517,1,0.06587615283267458,-0.0003477823286904785,0.06423074401216641,-0.7336272362839127,0.0,0.0,0.0,0.959462903739364,1.4809680502960514,86.29855670402965
ndvi_r,float64,1517,1,0.06587615283267458,-6.45882718261066e-05,0.008171283670672767,-0.09798040836020372,0.0,0.0,0.0,0.10227884912041812,1.7743043917930104,74.96451135264677
imat_r,float64,1516,2,0.13175230566534915,0.000391530431913583,0.00886452212093892,-0.1440151811492072,0.0,0.0,0.0,0.12319878234309734,1.175646313130321,113.21568279582206
iagro_r,float64,704,814,53.62318840579711,7.996068103474515e-05,0.029589019832295227,-0.3921225373548114,-0.0071442204708972445,0.0,0.00580556342516525,0.14995039064634064,-2.4277485352809927,49.53747701275715
ibov_r,float64,1516,2,0.13175230566534915,0.00013803113842101921,0.015266645652072397,-0.15993026567604396,-0.006449269684021264,0.0,0.007553198263365424,0.13022281024270832,-1.5704870911561946,24.411651268008978
precip_mm_l15,float64,1503,15,0.9881422924901186,104.66852960745176,44.73808496094044,40.3,69.5,106.5,146.2,180.8,0.24100438702010213,-1.199086584593085
ndvi_l15,float64,1503,15,0.9881422924901186,0.682960745176314,0.04210446620661766,0.62,0.65,0.68,0.71,0.77,0.2654710298881382,-0.9626605954998224
precip_mm_l30,float64,1488,30,1.9762845849802373,104.65006720430107,44.96278473087938,40.3,69.5,106.5,146.2,180.8,0.24104007294625154,-1.2166638109428294
ndvi_l30,float64,1488,30,1.9762845849802373,0.6829905913978496,0.04231524077765592,0.62,0.65,0.68,0.71,0.77,0.2620500492912526,-0.9835886387923587
precip_mm_l60,float64,1458,60,3.9525691699604746,104.61200274348424,45.422532119271814,40.3,69.5,106.5,147.5,180.8,0.24113137946152843,-1.251815540994373
ndvi_l60,float64,1458,60,3.9525691699604746,0.6830521262002743,0.04274646359528556,0.62,0.65,0.68,0.72,0.77,0.25512291191099606,-1.0254304500785079
