data,ptax
2020-01-02,4.0213
2020-01-03,4.0522
2020-01-06,4.0554
2020-01-07,4.0841
2020-01-08,4.0672
2020-01-09,4.0744
2020-01-10,4.0745
2020-01-13,4.1309
2020-01-14,4.1443
2020-01-15,4.1622
2020-01-16,4.1726
2020-01-17,4.1837
2020-01-20,4.1829
2020-01-21,4.2014
2020-01-22,4.1889
2020-01-23,4.1662
2020-01-24,4.1769
2020-01-27,4.2196
2020-01-28,4.2064
2020-01-29,4.2013
2020-01-30,4.2523
2020-01-31,4.2695
2020-02-03,4.2475
2020-02-04,4.2381
2020-02-05,4.2449
2020-02-06,4.2477
2020-02-07,4.3076
2020-02-10,4.3195
2020-02-11,4.3148
2020-02-12,4.3366
2020-02-13,4.3389
2020-02-14,4.3163
2020-02-17,4.3157
2020-02-18,4.3471
2020-02-19,4.3728
2020-02-20,4.3873
2020-02-21,4.3924
2020-02-26,4.4359
2020-02-27,4.4764
2020-02-28,4.4987
2020-03-02,4.4946
2020-03-03,4.4883
2020-03-04,4.5258
2020-03-05,4.6207
2020-03-06,4.6459
2020-03-09,4.7379
2020-03-10,4.6693
2020-03-11,4.6738
2020-03-12,4.8833
2020-03-13,4.7362
2020-03-16,4.9471
2020-03-17,5.0496
2020-03-18,5.1107
2020-03-19,5.1444
2020-03-20,5.0248
2020-03-23,5.0805
2020-03-24,5.0713
2020-03-25,5.0706
2020-03-26,5.001
2020-03-27,5.1109
2020-03-30,5.1594
2020-03-31,5.1987
2020-04-01,5.2404
2020-04-02,5.2651
2020-04-03,5.2997
2020-04-06,5.2471
2020-04-07,5.2217
2020-04-08,5.2123
2020-04-09,5.0779
2020-04-13,5.1824
2020-04-14,5.1858
2020-04-15,5.2579
2020-04-16,5.2377
2020-04-17,5.2573
2020-04-20,5.2837
2020-04-22,5.3847
2020-04-23,5.4467
2020-04-24,5.651
2020-04-27,5.6358
2020-04-28,5.5683
2020-04-29,5.4291
2020-04-30,5.427
2020-05-04,5.5816
2020-05-05,5.5354
2020-05-06,5.6676
2020-05-07,5.8365
2020-05-08,5.7653
2020-05-11,5.7954
2020-05-12,5.7723
2020-05-13,5.9022
2020-05-14,5.9372
2020-05-15,5.8229
2020-05-18,5.7375
2020-05-19,5.7216
2020-05-20,5.6968
2020-05-21,5.6019
2020-05-22,5.5808
2020-05-25,5.4772
2020-05-26,5.3707
2020-05-27,5.2992
2020-05-28,5.3405
2020-05-29,5.4263
2020-06-01,5.3639
2020-06-02,5.2601
2020-06-03,5.0516
2020-06-04,5.1041
2020-06-05,4.9775
2020-06-08,4.9331
2020-06-09,4.9057
2020-06-10,4.8894
2020-06-12,5.0373
2020-06-15,5.1883
2020-06-16,5.1285
2020-06-17,5.2499
2020-06-18,5.3468
2020-06-19,5.3466
2020-06-22,5.2226
2020-06-23,5.1705
2020-06-24,5.2435
2020-06-25,5.3287
2020-06-26,5.4629
2020-06-29,5.4416
2020-06-30,5.476
2020-07-01,5.3651
2020-07-02,5.3028
2020-07-03,5.3374
2020-07-06,5.3085
2020-07-07,5.3318
2020-07-08,5.3482
2020-07-09,5.2978
2020-07-10,5.344
2020-07-13,5.3486
2020-07-14,5.4288
2020-07-15,5.3491
2020-07-16,5.356
2020-07-17,5.351
2020-07-20,5.3635
2020-07-21,5.2283
2020-07-22,5.1111
2020-07-23,5.1647
2020-07-24,5.2146
2020-07-27,5.1889
2020-07-28,5.1777
2020-07-29,5.1395
2020-07-30,5.1837
2020-07-31,5.2033
2020-08-03,5.3075
2020-08-04,5.3329
2020-08-05,5.276
2020-08-06,5.3431
2020-08-07,5.4227
2020-08-10,5.3933
2020-08-11,5.4285
2020-08-12,5.4551
2020-08-13,5.3801
2020-08-14,5.3852
2020-08-17,5.4497
2020-08-18,5.4659
2020-08-19,5.4906
2020-08-20,5.651
2020-08-21,5.6064
2020-08-24,5.5954
2020-08-25,5.5997
2020-08-26,5.568
2020-08-27,5.5956
2020-08-28,5.4679
2020-08-31,5.4713
2020-09-01,5.3732
2020-09-02,5.3741
2020-09-03,5.3079
2020-09-04,5.2848
2020-09-08,5.3698
2020-09-09,5.3024
2020-09-10,5.2936
2020-09-11,5.2854
2020-09-14,5.2984
2020-09-15,5.2728
2020-09-16,5.2532
2020-09-17,5.2593
2020-09-18,5.2889
2020-09-21,5.444
2020-09-22,5.4329
2020-09-23,5.5311
2020-09-24,5.5714
2020-09-25,5.5667
2020-09-28,5.5858
2020-09-29,5.6528
2020-09-30,5.6407
2020-10-01,5.6441
2020-10-02,5.6464
2020-10-05,5.6299
2020-10-06,5.5205
2020-10-07,5.6018
2020-10-08,5.62
2020-10-09,5.5393
2020-10-13,5.5859
2020-10-14,5.5675
2020-10-15,5.6172
2020-10-16,5.6226
2020-10-19,5.6023
2020-10-20,5.583
2020-10-21,5.6006
2020-10-22,5.582
2020-10-23,5.612
2020-10-26,5.6328
2020-10-27,5.6491
2020-10-28,5.7325
2020-10-29,5.7803
2020-10-30,5.7718
2020-11-03,5.6895
2020-11-04,5.6932
2020-11-05,5.5624
2020-11-06,5.5313
2020-11-09,5.2821
2020-11-10,5.3696
