date,price
2020-01-02,650.00
2020-02-01,655.00
2020-03-01,630.00
2020-04-01,610.00
2020-05-01,595.00
2020-06-01,600.00
2020-07-01,620.00
2020-08-01,640.00
2020-09-01,660.00
2020-10-01,680.00
2020-11-01,695.00
2020-12-01,710.00
2021-01-01,730.00
2021-02-01,750.00
2021-03-01,770.00
2021-04-01,785.00
2021-05-01,800.00
2021-06-01,815.00
2021-07-01,820.00
2021-08-01,810.00
2021-09-01,805.00
2021-10-01,795.00
2021-11-01,780.00
2021-12-01,770.00
2022-01-01,755.00
2022-02-01,740.00
2022-03-01,730.00
2022-04-01,720.00
2022-05-01,715.00
2022-06-01,710.00
2022-07-01,705.00
2022-08-01,700.00
2022-09-01,695.00
2022-10-01,690.00
2022-11-01,685.00
2022-12-01,680.00
2023-01-01,675.00
2023-02-01,670.00
2023-03-01,665.00
2023-04-01,660.00
2023-05-01,655.00
2023-06-01,650.00
2023-07-01,655.00
2023-08-01,665.00
2023-09-01,680.00
2023-10-01,695.00
2023-11-01,710.00
2023-12-01,725.00
2024-01-01,740.00
2024-02-01,755.00
2024-03-01,765.00
2024-04-01,775.00
2024-05-01,780.00
2024-06-01,785.00
2024-07-01,790.00
2024-08-01,795.00
2024-09-01,800.00
2024-10-01,805.00

