date,close
2020-01-02,38.50
2020-01-03,38.75
2020-02-03,39.20
2020-03-02,35.80
2020-04-01,34.50
2020-05-04,36.20
2020-06-01,38.90
2020-07-01,41.20
2020-08-03,43.50
2020-09-01,45.20
2020-10-01,47.80
2020-11-02,50.20
2020-12-01,52.50
2021-01-04,54.80
2021-02-01,57.20
2021-03-01,59.50
2021-04-01,62.80
2021-05-03,65.20
2021-06-01,67.50
2021-07-01,69.80
2021-08-02,68.50
2021-09-01,66.20
2021-10-01,64.80
2021-11-01,63.50
2021-12-01,62.20
2022-01-03,60.80
2022-02-01,59.50
2022-03-01,58.20
2022-04-01,57.50
2022-05-02,56.80
2022-06-01,55.50
2022-07-01,54.20
2022-08-01,53.80
2022-09-01,52.50
2022-10-03,51.20
2022-11-01,50.80
2022-12-01,49.50
2023-01-02,48.20
2023-02-01,47.80
2023-03-01,46.50
2023-04-03,45.80
2023-05-01,45.20
2023-06-01,44.50
2023-07-03,45.80
2023-08-01,47.20
2023-09-01,49.50
2023-10-02,51.80
2023-11-01,54.20
2023-12-01,56.50
2024-01-02,58.80
2024-02-01,61.20
2024-03-01,63.50
2024-04-01,65.80
2024-05-02,67.20
2024-06-03,68.50
2024-07-01,69.80
2024-08-01,71.20
2024-09-02,72.50
2024-10-01,73.80

